model,score,rating_q025,rating_q975,CI
gpt-4-turbo-2024-04-09,84.42,81.37,87.4,"(-3.05, +2.98)"
gpt-4-0314,50,50,50,"(-0.00, +0.00)"
Llama-3-8B-Magpie-Align-v0.2,40.81,38.46,42.88,"(-2.35, +2.07)"
Llama-3-8B-Magpie-Align-SFT-v0.2,18.01,16.66,19.5,"(-1.35, +1.49)"
Mistral-7B-Instruct-v0.3,17.09,15.59,18.98,"(-1.50, +1.89)"
Llama-3-8B-Ultrachat-IPO,15.65,13.76,16.8,"(-1.89, +1.15)"
Llama-3-8B-Ultrachat-DPO,13.81,12.54,15.1,"(-1.27, +1.29)"
Llama-3-8B-Ultrachat-RDPO,13.6,12.14,15.35,"(-1.46, +1.75)"
Mistral-7B-magpie-v1.0,12.68,10.96,14.37,"(-1.72, +1.69)"
Llama-3-8B-Tulu2-DPO,12.44,11.23,13.73,"(-1.21, +1.29)"
Llama-3-8B-Ultrachat-ORPO,11.5,10.15,12.9,"(-1.35, +1.40)"
Llama-3-8B-Ultrachat-KTO,10.56,9.45,11.91,"(-1.11, +1.35)"
Mistral-7B-OpenHermes-2.5,9.3,8.09,10.49,"(-1.21, +1.19)"
Llama-3-8B-Ultrachat (princeton),9.18,8.01,10.37,"(-1.17, +1.19)"
Llama-3-8B-WildChat,7.65,6.62,8.63,"(-1.03, +0.98)"
Llama-3-8B-ShareGPT,5.91,4.9,6.89,"(-1.01, +0.98)"
Llama-3-8B-NuminaCoT,5.15,4.17,6.03,"(-0.98, +0.88)"
Mistral-7B-wildchat-v1.0,4.92,3.95,5.85,"(-0.97, +0.93)"
Llama-3-8B-OpenHermes-243K,4.83,4.08,5.8,"(-0.75, +0.97)"
Mistral-7B-wizardlm-v1.0,4.68,3.87,5.68,"(-0.81, +1.00)"
Llama-3-8B-WizardLM-196K,4.57,3.87,5.38,"(-0.70, +0.81)"
Mistral-7B-sharegpt-vicuna-v1.0,4.52,3.76,5.41,"(-0.76, +0.89)"
Llama-3-8B-Ultrachat (magpie),4.36,3.78,5.33,"(-0.58, +0.97)"
Mistral-7B-tulu2,4.27,3.46,4.91,"(-0.81, +0.64)"
Mistral-7B-bagel,3.33,2.73,4.09,"(-0.60, +0.76)"
Llama3-8B-MetaMath,2.81,2.28,3.34,"(-0.53, +0.53)"
Mistral-7B-ultrachat,2.79,2.22,3.56,"(-0.57, +0.77)"
Llama-3-8B-Replete-Coder,2.57,2.1,3.1,"(-0.47, +0.53)"
Llama-3-8B-bagel,2.53,2.03,3.11,"(-0.50, +0.58)"
Llama-3-8B-Tulu2,2.19,1.89,2.54,"(-0.30, +0.35)"
Llama-3-8B-codellama,1.71,1.2,2.17,"(-0.51, +0.46)"
Llama-3-8B-flan,1.5,1.07,1.92,"(-0.43, +0.42)"
Mistral-7B-lima,1.09,0.63,1.48,"(-0.46, +0.39)"
Llama-3-8B-lima,1.04,0.68,1.54,"(-0.36, +0.50)"
Llama-3-8B-base,0.65,0.36,1,"(-0.29, +0.35)"
Llama-3-8B-tulu-human,0.61,0.37,0.95,"(-0.24, +0.34)"
