model,average,coding,data_analysis,instruction_following,language,math,reasoning
claude-3-5-sonnet-20240620,61.2,63.2,56.7,72.3,56.9,53.7,64
meta-llama-3.1-405b-instruct-turbo,55.2,45.7,53.5,78.5,49.8,46.5,57
gpt-4o-2024-05-13,55,46.4,52.4,72.2,53.9,49.9,55
gpt-4-turbo-2024-04-09,53,47.1,51.3,71.4,45.3,49,54
claude-3-opus-20240229,50.8,40.1,54.3,70.9,51.7,46.5,41
gpt-4-0125-preview,49.4,44.1,54.1,63.9,43.6,42.7,48
meta-llama-3.1-70b-instruct-turbo,48.9,33.1,50.3,79.1,42.4,45.6,43
mistral-large-2407,48.3,46.4,46.6,71.8,39.8,40.5,45
deepseek-coder-v2,46.8,41.1,38.3,67.2,33,52.5,49
deepseek-chat-v2,45.8,38.8,45.6,64.6,32.8,52.1,41
gpt-4-0613,44.9,37.1,44,71.8,49.6,36.2,31
gpt-4o-mini-2024-07-18,44.6,43.4,44.5,65.7,35.3,41.6,37
gemini-1.5-pro-api-0514,44.4,32.8,52.8,67.2,38.3,42.4,33
gemma-2-27b-it,41.2,36.7,43.6,67.4,32.4,36.2,31
gemini-1.5-flash-api-0514,40.9,39.1,44,63,30.7,38.9,30
qwen2-72b-instruct,40.2,31.8,26.2,68.3,29.2,43.4,42
smaug-qwen2-72b-instruct,39.7,39.1,26.2,65,30,40.7,37
mistral-large-2402,38.9,26.8,42.6,68.2,28.7,32.2,35
claude-3-sonnet-20240229,38.1,25.2,44.6,65,38.1,29.6,26
meta-llama-3-70b-instruct,37.6,20.9,43.7,63.5,34.1,32.3,31
claude-3-haiku-20240307,35.3,24.5,41.5,64,30.1,25.7,26
mixtral-8x22b-instruct-v0.1,35.3,33.1,31.7,63.2,26.5,28.3,29
gpt-3.5-turbo-0125,34.7,29.2,41.2,60.5,24.2,26.9,26
mistral-small-2402,33,24.2,31.9,63.9,22.1,28.1,28
command-r-plus,32.9,20.3,24.6,71.5,23.9,24.9,32
gemma-2-9b-it,31.6,22.2,35.1,61.6,27.6,24,19
phi-3-medium-4k-instruct,31,20.6,31.6,53.3,13.9,31.4,35
phi-3-medium-128k-instruct,30,22.2,32.1,56.2,12.8,25.6,31
deepseek-coder-v2-lite-instruct,29.2,26.8,33,48.3,10.6,34.4,22
qwen1.5-110b-chat,29.1,22.2,31.5,55.3,13.2,26.3,26
open-mistral-nemo,29,28.2,33.4,51.8,14.1,21.7,25
qwen1.5-72b-chat,28.9,22.9,33,58.2,11.4,26.8,21
meta-llama-3.1-8b-instruct-turbo,28.1,21.6,32.2,56.5,20,24.4,14
meta-llama-3-8b-instruct,27.5,18.3,26,57.1,18.7,19.7,25
phi-3-small-128k-instruct,27.3,25.8,27.3,36.9,12.3,25.5,36
command-r,27.2,14.9,31.7,57.2,14.6,16.9,28
qwen2-7b-instruct,26.6,29.2,28.7,44.7,10.2,26.9,20
phi-3-small-8k-instruct,26.2,19.6,27.5,48.2,15,24.1,23
dolphin-2.9-llama3-8b,25.1,12.6,25.9,51.4,15.6,19.9,25
bagel-8b-v1.0,24.5,18.6,31.5,38.4,15.6,16.8,26
mathstral-7b-v0.1,24.3,15.6,27.9,53.2,15.4,17.8,16
llama-3-8b-tulu-330k,24.3,11.6,29.6,52.8,15,14.7,22
hermes-2-pro-llama-3-8b,24.3,14.9,30.7,50.9,10,17.3,22
llama-3-8b-wildchat,24.1,20.9,33.3,47.3,8.6,17.4,17
openhermes-2.5-mistral-7b,23.4,11.6,26.9,52.8,11.4,20.4,17
llama-3-tulu-2-8b,23.3,11.6,26.7,47.5,14.5,18.3,21
bagel-7b-v0.1,23.3,10.9,31.8,38.1,13.6,18.2,27
llama-3-8b-wildchat-zephyradapter,23.2,11.3,29.8,50.1,11.1,18.7,18
mistral-7b-wizardlm-ours-v1.0,22.9,14.3,24.2,52.1,9.1,15.9,22
mistral-7b-wildchat-v1.0,22.8,13.9,30.1,51.6,7.5,12.8,21
llama3-8b-wizardlm-v1.0,22.8,16.3,30.1,48.5,11.4,16.4,14
mixtral-8x7b-instruct-v0.1,22.8,11.3,28.1,44.8,13.8,20.7,18
mistral-7b-tulu-v3.0,22.5,9.6,30,50.3,11.7,16.6,17
llama-3-8b-wizardlm-196k,22,15.3,28.4,48.1,10.7,15.8,14
einstein-v6.1-llama3-8b,22,17.3,22.2,44.6,15,15.1,18
tulu-v2-sft-v2.0,21.9,12.6,27.2,49.6,14.9,9.9,17
llama-3-8b-openhermes-243k,21.4,13.6,25.8,48.5,9.5,15,16
llama-3-8b-sharegpt-112k,21.2,16.3,24.6,46.5,9.9,14.2,16
openchat-3.6-8b-20240522,21.2,13.3,30.4,35.6,13.8,16.1,18
mistral-7b-instruct-v0.3,20.1,9,21.8,52.4,11.9,14.6,11
llama-3-base-8b-sft-orpo,20,5,24.6,44.7,6.9,16.1,23
microsoft_wizardlm-2-7b,19.9,6,16.3,53.5,9.4,18.2,16
llama-3-tulu-2-dpo-8b,19.8,13.3,20.7,43.4,11.4,11.7,18
llama-3-8b-ultrachat-200k-temp05-nb3,19.5,8.6,30.7,44.8,6.6,17.4,9
mistral-7b-instruct-v0.2,19.5,11.6,14.6,51.6,9.1,17.1,13
phi-3-mini-4k-instruct,19.4,15.6,14.7,40.1,7.1,20.2,19
llama-3-8b-magpie-align-sft-v0.2,19.3,15.6,5.3,41,10.1,18.8,25
zephyr-7b-alpha,19.3,11.3,17.4,52.8,7.2,10,17
llama3-8b-wizardlm-v1.0-zephyradapter,19.1,10.9,19.3,44.7,14.2,14.4,11
wizardlm-13b-v1.2,18.9,8,14.8,50.5,9.4,11.7,19
llama-3-8b-wildchat-hermesadapter,18.8,14.9,3.3,43,10,20.3,21
llama-3-8b-ultrachat-200k-temp05,18.5,9.9,29.1,46.3,5.8,12.2,8
llama-3-8b-ultrachat-200k,18.5,9.9,28.9,43.6,6.6,12,10
phi-3-mini-128k-instruct,18.4,11.6,8.7,49.6,6.8,23.6,10
llama-3-base-8b-sft-kto,18.3,7,21,45,9.1,17.8,10
gemma-1.1-7b-it,18.2,11,18.2,44.3,10.6,15.2,10
