model,AMPS_Hard,LCB_generation,coding_completion,connections,cta,math_comp,olympiad,paraphrase,plot_unscrambling,simplify,story_generation,summarize,tablejoin,tablereformat,typos,web_of_lies_v2,zebra_puzzle
amber-7b-050-tulu2-v1.0,0,0,0,0,8,10.417,8.177,16.867,8.013,15.267,22.5,17.15,0,0,4,0,14
amber-7b-150-tulu2-v1.0,1,0,2.632,0,0,2.083,16.15,22.783,7.924,14.4,19.5,22.817,0,4,4,0,0
amber-7b-250-tulu2-v1.0,3,0,2.632,0,4,8.333,17.477,17.483,9.391,13.483,20.25,18.9,0,8,4,0,10
amber-7b-350-tulu2-v1.0,0,0,0,0,6,2.083,3.649,26.35,7.793,18.617,23.5,20.9,0,12,6,0,8
bagel-7b-v0.1,7,14,7.895,0,50,12.5,34.965,37.35,10.936,42.517,35.25,37.283,3.34,42,30,28,26
bagel-8b-v1.0,7,24,13.158,0,50,9.375,34.113,38.6,14.68,45.3,37.75,32.017,8.5,36,32,22,30
claude-3-5-sonnet-20240620,49,58,68.421,49.667,62,44.792,67.458,72.217,55.144,73.767,74.333,68.883,40.22,68,66,80,48
claude-3-haiku-20240307,12,28,21.053,18.5,50,19.792,45.378,63.517,23.72,65.1,57.917,69.583,12.62,62,48,20,32
claude-3-opus-20240229,38,38,42.105,37,58,41.667,59.962,69.383,50.162,72.55,71.083,70.483,40.96,64,68,48,34
claude-3-sonnet-20240229,21,32,18.421,26.167,56,17.708,50.237,65.817,34.083,64.55,62.417,67.233,15.68,62,54,16,36
code-llama-3-8b,1,16,2.632,0,0,3.125,13.158,24.95,9.381,17.217,29.5,13.4,0,0,4,0,24
command-r,3,22,7.895,7.667,48,17.708,30.039,59.85,14.266,53.833,63.5,51.467,9.08,38,22,18,38
command-r-plus,10,30,10.526,22.333,38,18.75,45.81,70.217,25.432,72.633,80.833,62.35,11.8,24,24,18,46
dart-math-llama3-8b-prop2diff,2,4,2.632,0,0,13.542,18.522,14.317,5.513,16.183,10.333,12.783,0,2,6,0,26
deepseek-chat-v2,41,42,35.526,28.5,48,51.042,64.292,62.933,31.805,62.317,71.333,61.867,28.76,60,38,52,30
deepseek-coder-v2,43,40,42.105,25.833,46,50,64.607,66.183,31.299,62.517,75.333,64.7,30.76,38,42,56,42
deepseek-coder-v2-lite-instruct,33,30,23.684,0.5,38,33.333,36.98,52.85,11.406,44.2,58.25,38.05,9,52,20,24,20
deepseek-v2-lite-chat,7,12,5.263,2,34,9.375,25.854,47.7,9.613,38.983,49.917,30.717,0.56,20,16,14,12
dolly-v2-12b,3,0,0,0,0,2.083,17.921,15.983,7.361,15.283,11.333,16.7,0,0,0,0,6
dolphin-2.9-llama3-8b,7,20,5.263,6,38,15.625,36.944,55.4,12.905,44.367,59.5,46.133,7.58,32,28,24,26
einstein-v6.1-llama3-8b,13,24,10.526,2,16,8.333,24.06,46.35,17.09,35.467,57.5,38.933,6.62,44,26,6,30
falcon-40b-instruct,2,0,0,0,0,0,0,13.7,4.58,8.7,13.75,10.25,0,0,4,0,10
falcon-7b-instruct,6,0,0,0,2,5.208,21.266,16.15,3.043,11.6,19.583,18.667,0,0,2,2,6
flan-t5-xxl,0,0,0,0,18,7.292,24.053,18.367,6.675,15.617,17.833,13.083,0,0,0,10,26
flan-ul2,0,0,0,0,22,7.292,15.453,24.867,7.588,17.483,16.75,18.733,0,0,0,0,20
gemini-1.5-flash-api-0514,30,36,42.105,16.667,54,25,61.675,66.1,29.409,66.767,63.667,55.517,24.08,54,46,22,38
gemini-1.5-pro-api-0514,34,34,31.579,18.833,54,36.458,56.799,69.267,39.922,71.05,64.667,63.8,38.42,66,56,42,24
gemma-1.1-7b-it,10,22,0,7.167,40,4.167,31.475,51.35,12.775,41.783,43.5,40.717,2.52,12,12,0,20
gemma-2-27b-it,33,34,39.474,25.167,54,21.875,53.829,71.133,30.032,64.517,69.417,64.417,12.74,64,42,20,42
gemma-2-9b-it,28,26,18.421,23,50,11.458,32.478,68.05,21.926,61.767,57.333,59.05,5.18,50,38,18,20
gpt-3.5-turbo-0125,23,32,26.316,13.333,50,13.542,44.258,65.767,17.316,57.033,67.083,51.983,19.64,54,42,18,34
gpt-4-0125-preview,37,46,42.105,43.167,56,36.458,54.79,60.1,43.493,61.317,68.583,65.683,36.18,70,44,52,44
